Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Votes
216,31,-84.938698,32.560905,121,10,2,0,0,0,0,1,4.2,355
216,31,-84.991384,32.468757,6,25,2,0,0,0,0,2,4.3,287
216,31,-84.963201,32.527217,1079,40,2,0,0,0,0,3,4.0,264
216,31,-85.0213,32.7455,98,40,2,0,0,0,0,3,4.4,235
37,32,-110.7746994,52.0082889,508,25,2,0,0,0,0,2,3.0,6
216,33,-84.9396931,34.5251331,15,25,2,0,0,0,0,2,3.7,38
216,33,-84.926258,34.474635,785,10,2,0,0,0,0,1,4.4,122
216,33,-84.9523921,34.4972488,168,25,2,0,0,0,0,2,4.4,207
216,33,-84.767911,34.752476,1231,10,2,0,0,0,0,1,3.9,66
216,33,-84.969393,34.769686,169,10,2,0,0,0,0,1,4.9,249
216,33,-85.0039,34.7643,6,25,2,0,0,0,0,2,3.8,63
216,33,-84.992342,34.759551,1126,40,2,0,0,0,0,3,3.8,145
216,33,-84.992924,34.759665,1212,10,2,0,0,0,0,1,3.8,83
216,33,-84.999678,34.758645,1031,25,2,0,0,0,0,2,3.7,116
216,33,-84.9678,34.7742,29,10,2,0,0,0,0,1,4.1,122
216,33,-84.990925,34.759273,828,10,2,0,0,0,0,1,4.1,142
216,33,-84.9964,34.7604,1212,10,2,0,0,0,0,1,4.1,114
216,33,-85.2229101,34.9428786,81,25,2,0,0,0,0,2,4.6,214
216,33,-85.246237,34.9528157,1111,10,2,0,0,0,0,1,4.3,116
216,33,-85.2545,34.9546,1795,25,2,0,0,0,0,2,4.2,111
216,33,-85.294955,34.705093,785,10,2,0,0,0,0,1,3.7,25
216,33,-85.1321,34.9273,168,10,2,0,0,0,0,1,4.1,128
216,33,-85.130492,34.912109,50,10,2,0,0,0,0,1,4.3,244
216,33,-85.1079396,34.9151853,15,10,2,0,0,0,0,1,4.2,112
216,33,-85.249727,34.851907,1098,10,2,0,0,0,0,1,4.1,144
216,34,-90.496986,41.574935,1005,25,2,0,0,0,0,2,4.6,166
216,34,-90.522479,41.53845,1785,40,2,0,0,0,0,3,4.5,208
216,34,-90.4912446,41.5747801,321,25,2,0,0,0,0,2,3.9,136
216,34,-90.504176,41.548746,25,10,2,0,0,0,0,1,4.0,85
216,34,-90.50709,41.525384,1031,25,2,0,0,0,0,2,4.1,117
216,34,-90.574088,41.593892,21,25,2,0,0,0,0,2,3.4,53
216,34,-90.565837,41.574459,115,25,2,0,0,0,0,2,4.9,474
216,34,-90.5716,41.5604,828,10,2,0,0,0,0,1,3.9,125
216,34,-90.5737,41.5223,61,70,2,0,0,0,0,4,3.7,201
216,34,-90.59466452,41.52253634,19,25,2,0,0,0,0,2,0.0,2
216,34,-90.5154313,41.5709434,1212,25,2,0,0,0,0,2,0.0,3
216,34,-90.5683,41.5699,1212,0,2,0,0,0,0,1,4.3,167
216,34,-90.5321,41.5749,497,25,2,0,0,0,0,2,4.0,112
216,34,-90.5432,41.5747,1795,25,2,0,0,0,0,2,4.1,256
216,34,-90.572418,41.520389,6,10,2,0,0,0,0,1,4.3,123
216,34,-90.5137,41.5745,6,25,2,0,0,0,0,2,4.0,199
216,34,-90.5686,41.559,1212,25,2,0,0,0,0,2,4.1,157
216,34,-90.6136,41.5944,6,25,2,0,0,0,0,2,4.1,100
216,34,-90.515175,41.570997,1126,40,2,0,0,0,0,3,4.2,141
216,34,-90.517,41.5747,16,25,2,0,0,0,0,2,4.2,197
216,36,-93.610084,42.010254,170,25,2,0,0,0,0,2,4.5,1025
216,36,-93.643094,42.048779,41,25,2,0,0,0,0,2,4.9,570
216,36,-93.677638,41.614965,172,40,2,0,0,0,0,3,4.5,674
216,36,-93.739573,41.600564,151,25,2,0,0,0,0,2,4.1,496
216,36,-93.760027,41.60028,121,25,2,0,0,0,0,2,4.0,411
216,36,-93.627896,41.583309,1167,25,2,0,0,0,0,2,3.2,113
216,36,-93.6300803,41.5857431,1098,40,2,0,0,0,0,3,4.5,1109
216,36,-93.621631,41.585465,574,25,2,0,0,0,0,2,4.6,728
216,36,-93.637401,41.587219,158,10,2,0,0,0,0,1,4.4,659
216,36,-93.620726,41.58536,90,40,2,0,0,0,0,3,4.2,370
216,36,-93.629436,41.584027,916,40,2,0,0,0,0,3,4.3,532
216,36,-93.611366,41.590819,1126,25,2,0,0,0,0,2,4.8,860
216,36,-93.61474,41.590106,309,10,2,0,0,0,0,1,4.2,943
216,36,-93.577383,41.601415,69,70,2,0,0,0,0,4,4.1,476
216,36,-93.645245,41.545869,497,10,2,0,0,0,0,1,4.1,218
216,36,-93.6976773,41.6714654,279,10,2,0,0,0,0,1,4.0,214
216,36,-93.659797,41.603901,11,25,2,0,0,0,0,2,4.3,699
216,36,-93.772033,41.615083,21,25,2,0,0,0,0,2,3.8,308
216,36,-93.73624,41.594039,1165,25,2,0,0,0,0,2,4.0,157
216,36,-93.7441981,41.5991771,1693,40,2,0,0,0,0,3,4.2,530
14,37,153.137401,-26.783576,620,7,2,0,0,0,0,1,3.6,29
216,40,-90.667668,42.504759,268,10,2,0,0,0,0,1,3.4,33
216,40,-90.6499328,42.5124724,1667,25,2,0,0,0,0,2,3.3,40
216,40,-90.6684746,42.5032004,1212,10,2,0,0,0,0,1,3.4,153
216,40,-90.658609,42.496464,14,25,2,0,0,0,0,2,3.3,65
216,40,-90.664029,42.495689,1031,25,2,0,0,0,0,2,3.4,58
216,40,-90.715247,42.492018,35,25,2,0,0,0,0,2,3.5,100
216,40,-90.740213,42.49092,1212,10,2,0,0,0,0,1,3.6,156
216,40,-90.7264,42.4955,784,0,2,0,0,0,0,1,3.5,74
216,40,-90.645294,42.516621,29,25,2,0,0,0,0,2,3.6,117
216,40,-90.712084,42.492963,1125,40,2,0,0,0,0,3,3.7,83
216,40,-90.6646,42.5043,29,25,2,0,0,0,0,2,3.6,48
216,40,-90.668164,42.503075,1026,40,2,0,0,0,0,3,3.8,198
216,40,-90.7055,42.4916,1212,10,2,0,0,0,0,1,3.5,126
216,40,-90.6677349,42.500191,281,10,2,0,0,0,0,1,3.5,119
216,40,-90.6691,42.5048,69,25,2,0,0,0,0,2,3.6,140
216,40,-90.6651,42.4974,6,40,2,0,0,0,0,3,3.6,159
216,40,-90.6658,42.4963,1098,25,2,0,0,0,0,2,3.6,131
216,40,-90.663686,42.4982789,22,10,2,0,0,0,0,1,3.5,60
216,40,-90.684882,42.527556,34,25,2,0,0,0,0,2,3.7,89
216,40,-90.658988,42.496378,98,70,2,0,0,0,0,4,3.6,72
14,41,153.593331,-28.862663,331,20,2,0,0,0,0,2,4.1,56
216,44,-119.252694,39.607515,1212,10,2,0,0,0,0,1,3.7,83
14,45,152.8771473,-26.6521332,1793,30,2,0,0,0,0,3,3.5,37
14,46,143.714315,-38.517292,343,20,2,0,0,0,0,2,3.7,29
216,47,-83.8461,34.0901,92,25,2,0,0,0,0,2,4.4,239
216,47,-83.520693,34.61802,171,10,2,0,0,0,0,1,4.1,235
216,47,-83.985353,34.532973,31,25,2,0,0,0,0,2,3.8,88
216,47,-83.983939,34.533626,168,10,2,0,0,0,0,1,3.9,133
216,47,-83.989317,34.541044,537,10,2,0,0,0,0,1,4.4,267
216,47,-83.986119,34.533198,221,25,2,0,0,0,0,2,4.1,171
216,47,-83.938024,34.183573,1667,25,2,0,0,0,0,2,3.8,107
216,47,-83.926217,34.185707,100,40,2,0,0,0,0,3,4.3,164
216,47,-83.927794,34.180043,175,10,2,0,0,0,0,1,4.1,182
216,47,-83.838457,34.285102,1663,25,2,0,0,0,0,2,4.9,681
216,47,-83.857993,34.300182,1795,10,2,0,0,0,0,1,4.6,357
216,47,-83.860098,34.222755,168,25,2,0,0,0,0,2,3.8,89
216,47,-83.824023,34.300567,53,25,2,0,0,0,0,2,4.2,350
216,47,-83.8272,34.3166,1738,10,2,0,0,0,0,1,4.3,298
216,47,-83.82686,34.300332,100,25,2,0,0,0,0,2,4.2,319
216,47,-83.727741,34.701594,924,40,2,0,0,0,0,3,3.8,114
216,47,-83.7345,34.7024,925,10,2,0,0,0,0,1,3.9,136
216,47,-83.7334,34.7021,316,25,2,0,0,0,0,2,2.2,108
216,47,-83.713498,34.691208,1104,10,2,0,0,0,0,1,4.0,161
14,52,144.1387014,-37.3123267,367,20,2,0,0,0,0,2,3.8,192
14,52,144.110062,-37.275494,1072,7,2,0,0,0,0,1,3.8,93
14,53,150.6710743,-35.0388698,280,20,2,0,0,0,0,2,4.1,40
14,57,145.7287133,-38.6347458,304,7,2,0,0,0,0,1,3.7,100
14,64,147.9942247,-37.8783865,272,7,2,0,0,0,0,1,3.8,97
216,65,-120.3458,42.1885,308,10,2,0,0,0,0,1,3.6,41
216,66,-96.7072,40.8143,1795,25,2,0,0,0,0,2,4.5,799
14,68,151.558475,-32.728097,272,20,2,0,0,0,0,2,3.6,18
14,71,144.564174,-37.423189,331,20,2,0,0,0,0,2,3.5,31
216,72,-83.594494,32.567741,613,25,2,0,0,0,0,2,3.9,146
216,72,-83.657061,32.853896,1639,10,2,0,0,0,0,1,4.9,478
216,72,-83.6737,32.8496,1667,25,2,0,0,0,0,2,4.6,467
216,72,-83.6766,32.8899,588,25,2,0,0,0,0,2,4.5,302
216,72,-83.6279,32.8361,306,25,2,0,0,0,0,2,4.5,289
216,72,-83.713978,32.929278,94,40,2,0,0,0,0,3,4.1,293
216,72,-83.6276,32.8375,1743,70,2,0,0,0,0,4,4.0,195
216,72,-83.628703,32.83654,773,10,2,0,0,0,0,1,4.3,244
216,72,-83.787993,32.928495,813,70,2,0,0,0,0,4,4.2,379
216,72,-83.6873,32.901,941,10,2,0,0,0,0,1,4.2,223
216,72,-83.662421,32.556873,40,25,2,0,0,0,0,2,3.7,243
216,72,-83.624,32.5786,1031,25,2,0,0,0,0,2,3.7,104
216,72,-83.6665,32.6184,1130,10,2,0,0,0,0,1,3.7,153
216,72,-83.691044,32.552684,1640,25,2,0,0,0,0,2,3.8,323
216,72,-83.64935,32.594666,1212,10,2,0,0,0,0,1,4.1,181
216,72,-83.636618,32.6176839,63,25,2,0,0,0,0,2,4.0,316
216,72,-83.600201,32.619321,168,25,2,0,0,0,0,2,4.2,288
216,72,-83.665557,32.593264,1130,10,2,0,0,0,0,1,4.0,232
216,72,-83.7184,32.6147,1125,40,2,0,0,0,0,3,4.1,314
14,77,151.7343832,-32.899178,115,20,2,0,0,0,0,2,2.9,11
216,78,-85.7363,46.3718,269,10,2,0,0,0,0,1,2.4,17
14,79,117.917166,-35.025861,219,30,2,0,0,0,0,3,3.8,176
216,81,-89.653487,42.606306,1098,25,2,0,0,0,0,2,3.6,65
14,82,152.893735,-26.690462,617,30,2,0,0,0,0,3,2.4,193
216,89,-106.057666,36.313638,67,40,2,0,0,0,0,3,3.6,30
216,90,-81.381077,28.540432,1741,40,2,0,0,0,0,3,4.4,981
216,90,-81.585226,28.405437,948,45,2,0,0,0,0,3,4.5,1151
216,90,-81.514608,28.372858,91,35,2,0,0,0,0,3,4.7,1341
216,90,-81.517725,28.371338,1030,50,2,0,0,0,0,4,4.3,782
216,90,-81.469986,28.440344,1301,40,2,0,0,0,0,3,4.6,1293
216,90,-81.4510725,28.4676808,267,100,2,0,0,0,0,4,4.6,2324
216,90,-81.471526,28.437065,492,45,2,0,0,0,0,3,4.3,910
216,90,-81.471447,28.433235,1031,50,2,0,0,0,0,4,4.4,886
216,90,-81.364347,28.560505,153,35,2,0,0,0,0,3,4.6,1293
216,90,-81.364547,28.557845,141,10,2,0,0,0,0,1,4.4,570
216,90,-81.487978,28.448175,6,60,2,0,0,0,0,4,4.4,1685
216,90,-81.266871,28.811653,924,40,2,0,0,0,0,3,4.8,1699
216,90,-81.351467,28.543571,93,25,2,0,0,0,0,2,4.9,1457
216,90,-81.522987,28.527592,13,35,2,0,0,0,0,3,4.9,1252
216,90,-81.322631,28.601088,491,25,2,0,0,0,0,2,4.7,1412
216,90,-81.357219,28.597366,1739,25,2,0,0,0,0,2,3.6,432
216,90,-81.3508344,28.5976271,1211,40,2,0,0,0,0,3,4.2,568
